ID,TotalKey,Date
0,336429,2020-06-10 14:02:06.663
1,347158,2020-06-11 14:21:17.503
3,357573,2020-06-12 15:10:24.937
5,307959,2020-06-13 00:00:00.000
4,323666,2020-06-14 21:55:42.910
8,332461,2020-06-15 14:44:47.240
10,341724,2020-06-16 05:00:23.960
11,283762,2020-06-17 05:00:24.400
12,336150,2020-06-18 08:11:20.313
13,343103,2020-06-19 08:13:07.260
14,355576,2020-06-20 05:38:13.630
15,359945,2020-06-21 07:11:39.470
16,361119,2020-06-22 03:54:04.373
17,213074,2020-06-23 08:16:56.043
18,231334,2020-06-24 08:16:05.547
19,248040,2020-06-25 08:13:43.237
20,261371,2020-06-26 08:14:45.860
21,288213,2020-06-27 21:59:51.513
22,286251,2020-06-28 11:26:03.470
23,292245,2020-06-29 08:10:19.560
24,282452,2020-06-30 08:12:47.610
25,281960,2020-07-01 12:32:32.550
26,280274,2020-07-02 10:13:05.790
27,282866,2020-07-03 08:07:44.153
28,286679,2020-07-04 16:54:20.493
29,280993,2020-07-05 10:06:45.367
30,258947,2020-07-06 08:29:03.077
31,256053,2020-07-07 08:11:22.400
32,253630,2020-07-08 08:11:57.397
33,250275,2020-07-09 08:07:00.203
34,243461,2020-07-10 08:13:52.860
37,241489,2020-07-11 07:31:29.160
38,225828,2020-07-12 08:48:30.757
39,221634,2020-07-13 08:06:50.167
40,222685,2020-07-14 08:07:38.147
41,221396,2020-07-15 08:11:24.677
42,220723,2020-07-16 08:16:08.623
43,223142,2020-07-17 08:03:02.783
44,222566,2020-07-18 06:14:06.940
45,230062,2020-07-19 17:31:24.383
46,231155,2020-07-20 08:13:08.520
47,230723,2020-07-21 08:12:51.387
48,231223,2020-07-22 08:12:03.020
49,230652,2020-07-23 08:18:32.237
50,228494,2020-07-24 08:10:49.460
51,230233,2020-07-25 10:31:22.080
52,233790,2020-07-26 18:39:47.087
53,216836,2020-07-27 08:07:23.840
54,216990,2020-07-28 08:12:00.410
55,218160,2020-07-29 08:39:11.873
56,220226,2020-07-30 08:11:05.723
57,219836,2020-07-31 08:44:26.313
58,220523,2020-08-01 09:26:22.750
59,245391,2020-08-02 14:28:35.667
60,241132,2020-08-03 07:32:49.743
61,245347,2020-08-04 09:04:31.077
62,245347,2020-08-05 07:47:02.777
63,244277,2020-08-06 09:22:28.370
64,243720,2020-08-07 09:30:29.437
65,242312,2020-08-08 07:12:47.000
66,216775,2020-08-09 06:02:25.680
67,230025,2020-08-10 05:54:31.700
68,202789,2020-08-11 08:29:10.163
69,201198,2020-08-12 08:39:52.900
70,200250,2020-08-13 08:46:31.750
71,200613,2020-08-14 08:55:03.593
72,201574,2020-08-15 07:50:11.233
73,209389,2020-08-16 14:01:30.667
74,212727,2020-08-17 08:51:35.250
75,211357,2020-08-18 07:51:10.610
76,210530,2020-08-19 08:33:10.740
77,210355,2020-08-20 08:29:59.797
78,208655,2020-08-21 08:12:54.940
79,209660,2020-08-22 12:43:40.737
80,210852,2020-08-23 14:19:17.637
81,195174,2020-08-24 09:49:49.603
82,200315,2020-08-25 17:01:09.267
83,195647,2020-08-26 08:43:40.953
84,195385,2020-08-27 08:45:41.567
85,195195,2020-08-28 08:58:09.097
86,206944,2020-08-29 18:05:22.157
87,236092,2020-08-30 00:17:29.390
88,228880,2020-08-31 08:57:27.920
89,231081,2020-09-01 09:07:01.940
90,235235,2020-09-02 10:47:16.023
91,237262,2020-09-03 09:55:27.040
92,238075,2020-09-04 09:12:43.943
93,240181,2020-09-05 12:22:23.973
94,212754,2020-09-06 11:13:18.397
95,209734,2020-09-07 09:20:37.573
96,206586,2020-09-08 10:53:24.137
97,203025,2020-09-09 09:10:11.970
98,199138,2020-09-10 09:19:09.357
99,197542,2020-09-11 09:18:35.573
100,196590,2020-09-12 08:26:02.223
101,199693,2020-09-13 10:31:15.947
102,198104,2020-09-14 10:00:16.790
103,196889,2020-09-15 09:19:44.247
104,195355,2020-09-16 08:21:32.253
105,204017,2020-09-17 05:00:13.687
106,192071,2020-09-18 08:21:43.167
107,202391,2020-09-19 05:00:24.203
108,214456,2020-09-20 05:00:22.370
109,219332,2020-09-21 08:30:32.950
110,219482,2020-09-22 07:16:52.027
111,220734,2020-09-23 09:07:59.400
112,221695,2020-09-24 09:30:47.727
113,232974,2020-09-25 05:00:06.617
114,296535,2020-09-26 05:00:06.540
115,342038,2020-09-27 07:18:26.970
116,314731,2020-09-28 09:06:17.970
117,328480,2020-09-29 10:01:13.653
118,348216,2020-09-30 23:24:23.040
119,350911,2020-10-01 08:52:11.087
120,131924,2020-10-02 09:14:51.813
121,209247,2020-10-03 07:34:13.687
122,291270,2020-10-04 09:40:28.457
123,353295,2020-10-05 09:18:15.263
124,258109,2020-10-06 09:11:18.557
125,265322,2020-10-07 08:15:02.273
126,286412,2020-10-08 08:15:02.273
127,290232,2020-10-09 07:56:37.693
128,202362,2020-10-10 07:56:37.693
129,296634,2020-10-11 07:56:37.693
130,209028,2020-10-12 08:09:02.037
131,206921,2020-10-13 09:10:40.323
132,205786,2020-10-14 08:20:36.290
133,210998,2020-10-15 08:54:03.753
134,211975,2020-10-16 08:07:41.160
135,208643,2020-10-17 07:39:56.760
136,295071,2020-10-18 09:40:17.717
137,288830,2020-10-19 08:45:16.397
138,311812,2020-10-20 09:20:55.513
139,322765,2020-10-21 09:28:05.217
140,331829,2020-10-22 07:44:53.250
141,341334,2020-10-23 09:33:27.940
142,352909,2020-10-24 07:38:01.090
143,152968,2020-10-25 08:48:58.000
144,189532,2020-10-26 08:33:58.900
145,209111,2020-10-27 08:45:34.827
146,226419,2020-10-28 09:16:35.703
147,239420,2020-10-29 09:36:41.830
148,246773,2020-10-30 09:18:49.087
149,249357,2020-10-31 13:35:14.333
150,249206,2020-11-01 12:44:46.437
151,249887,2020-11-02 09:35:38.703
152,246070,2020-11-03 09:02:10.463
153,235619,2020-11-04 09:30:14.723
154,229836,2020-11-05 08:06:24.360
155,224828,2020-11-06 10:02:41.490
156,270150,2020-11-07 09:26:59.810
157,325460,2020-11-08 12:09:23.900
158,280137,2020-11-09 09:28:53.807
159,291281,2020-11-10 07:17:17.783
161,302883,2020-11-11 09:56:37.740
162,311906,2020-11-12 07:51:38.650
163,328035,2020-11-13 09:36:26.270
164,336283,2020-11-14 13:39:31.027
165,276142,2020-11-15 07:36:37.047
166,189488,2020-11-16 09:42:13.773
167,189025,2020-11-17 09:25:17.100
168,186479,2020-11-18 09:04:15.870
169,185392,2020-11-19 09:03:12.357
170,178211,2020-11-20 09:43:08.860
171,194417,2020-11-21 11:38:08.253
172,319220,2020-11-22 22:46:29.980
173,311840,2020-11-23 09:41:09.960
176,312935,2020-11-24 00:00:00.000
174,314040,2020-11-25 09:44:15.360
175,316394,2020-11-26 09:13:57.010
178,319525,2020-11-27 09:30:00.137
179,208143,2020-11-28 18:07:26.480
180,280283,2020-11-29 14:41:49.617
181,326465,2020-11-30 09:54:46.313
182,338101,2020-12-01 09:35:54.300
183,345979,2020-12-02 09:59:46.023
184,353212,2020-12-03 10:03:21.100
185,353979,2020-12-04 09:05:18.273
186,117746,2020-12-05 15:40:10.493
187,151081,2020-12-06 11:00:33.080
188,188425,2020-12-07 09:24:10.367
189,196483,2020-12-08 09:31:33.637
190,203002,2020-12-09 08:37:09.790
191,208386,2020-12-10 09:46:47.513
192,206356,2020-12-11 09:54:54.270
193,218312,2020-12-12 10:44:34.000
194,275230,2020-12-13 13:39:32.383
195,293867,2020-12-14 09:50:35.717
196,295074,2020-12-15 09:46:47.773
197,296122,2020-12-16 07:07:32.123
198,298437,2020-12-17 08:51:57.507
199,299775,2020-12-18 09:51:38.143
200,304606,2020-12-19 10:53:15.537
201,298732,2020-12-20 08:42:58.373
202,294730,2020-12-21 09:50:25.023
203,293429,2020-12-22 09:50:12.240
204,293406,2020-12-23 06:59:14.810
205,294433,2020-12-24 09:48:58.730
206,293507,2020-12-25 11:20:12.993
207,294451,2020-12-26 11:20:12.993
208,253163,2020-12-27 20:17:39.593
209,171018,2020-12-28 09:51:42.640
210,169766,2020-12-29 09:30:09.050
211,169396,2020-12-30 09:51:30.740
212,169320,2020-12-31 17:09:00.073
213,175923,2021-01-01 22:18:36.657
214,174098,2021-01-02 18:30:50.407
215,170319,2021-01-03 10:37:38.820
216,191984,2021-01-04 08:16:02.563
217,193009,2021-01-05 10:12:40.213
218,191950,2021-01-06 09:18:29.257
219,201599,2021-01-07 09:32:07.863
220,217203,2021-01-08 14:18:42.530
221,264694,2021-01-09 13:09:59.147
222,333882,2021-01-10 18:14:51.603
223,345619,2021-01-11 09:30:48.873
224,348443,2021-01-12 09:26:47.667
225,350782,2021-01-13 09:38:03.663
226,348939,2021-01-14 10:36:45.093
227,347301,2021-01-15 07:04:12.627
228,326245,2021-01-16 09:01:19.650
229,250246,2021-01-17 13:42:16.870
230,319754,2021-01-18 08:28:14.100
231,330036,2021-01-19 09:44:33.540
232,339218,2021-01-20 09:39:03.910
233,352266,2021-01-21 09:23:13.130
234,139907,2021-01-22 09:22:19.990
235,177641,2021-01-23 11:23:51.940
236,308288,2021-01-24 08:13:12.990
237,337524,2021-01-25 08:23:46.690
238,351463,2021-01-26 09:24:44.963
239,156755,2021-01-27 09:57:10.230
240,175028,2021-01-28 09:05:25.400
241,197166,2021-01-29 09:35:25.020
242,264156,2021-01-30 07:18:39.317
243,352383,2021-01-31 11:48:08.920
244,337550,2021-02-01 09:43:20.473
245,352147,2021-02-02 09:07:05.263
246,201511,2021-02-03 09:09:53.077
247,219960,2021-02-04 09:36:16.030
248,251748,2021-02-05 12:30:53.980
249,295481,2021-02-06 07:57:27.940
250,350378,2021-02-07 10:27:50.570
251,282177,2021-02-08 09:05:15.073
252,306732,2021-02-09 16:35:50.987
253,320565,2021-02-10 12:39:24.680
254,334523,2021-02-11 10:26:33.103
255,350537,2021-02-12 15:35:58.033
256,342309,2021-02-13 11:45:28.473
257,223297,2021-02-14 13:47:33.253
258,290729,2021-02-15 16:19:12.657
259,316934,2021-02-16 12:20:29.090
260,331075,2021-02-17 09:34:00.487
261,344644,2021-02-18 09:46:45.670
262,354220,2021-02-19 10:08:31.820
263,220230,2021-02-20 17:21:40.330
264,318482,2021-02-21 23:50:08.393
265,324919,2021-02-22 09:45:30.900
266,337450,2021-02-23 09:42:18.760
267,347238,2021-02-24 09:42:41.270
268,349982,2021-02-25 09:38:01.530
269,136258,2021-02-26 09:25:29.253
270,166271,2021-02-27 15:55:47.387
271,196930,2021-02-28 06:22:31.913
272,235220,2021-03-01 08:42:56.440
273,246412,2021-03-02 09:12:16.510
274,254180,2021-03-03 09:56:38.147
275,257465,2021-03-04 09:39:26.543
276,259066,2021-03-05 09:45:59.710
277,256740,2021-03-06 10:09:15.840
278,257026,2021-03-07 09:15:44.010
279,280872,2021-03-08 08:19:14.530
280,282400,2021-03-09 10:09:45.570
281,283549,2021-03-10 08:14:18.537
282,280674,2021-03-11 10:42:08.007
283,283140,2021-03-12 09:43:35.143
284,326287,2021-03-13 10:19:30.830
285,257993,2021-03-14 09:24:46.807
286,340354,2021-03-15 09:38:35.943
287,353934,2021-03-16 09:34:24.153
288,198430,2021-03-17 09:19:28.790
289,215001,2021-03-18 09:43:53.493
290,234165,2021-03-19 09:49:39.000
291,323766,2021-03-20 18:39:06.143
292,274474,2021-03-21 07:32:02.620
293,339895,2021-03-22 07:46:53.670
294,352719,2021-03-23 09:41:57.963
295,185240,2021-03-24 09:35:28.980
296,204159,2021-03-25 09:42:59.243
297,219857,2021-03-26 08:19:34.633
298,239649,2021-03-27 09:12:58.313
299,269649,2021-03-28 16:21:01.213
300,231960,2021-03-29 08:24:44.387
301,231519,2021-03-30 09:03:51.820
302,228191,2021-04-01 08:35:35.693
303,226294,2021-04-02 08:27:47.990
304,224878,2021-04-03 16:52:39.713
305,256770,2021-04-04 09:00:11.163
306,252452,2021-04-05 09:24:42.267
307,250779,2021-04-06 09:46:44.540
308,246545,2021-04-07 09:46:31.803
309,246047,2021-04-08 09:33:52.280
310,244566,2021-04-09 09:40:28.370
311,245455,2021-04-10 10:33:13.223
312,267008,2021-04-11 05:44:17.970
313,268254,2021-04-12 09:03:39.840
314,265963,2021-04-13 09:33:34.427
315,264741,2021-04-14 09:42:46.537
316,268728,2021-04-15 09:51:49.247
317,267596,2021-04-16 07:55:40.857
318,265070,2021-04-17 10:30:35.680
319,279204,2021-04-18 11:36:39.697
320,261513,2021-04-19 09:18:19.963
321,260804,2021-04-20 09:26:53.883
322,275093,2021-04-21 14:12:31.080
323,269525,2021-04-22 10:52:10.117
324,271179,2021-04-23 09:09:12.210
325,292937,2021-04-24 08:40:42.717
326,276025,2021-04-25 09:07:05.447
327,275396,2021-04-26 09:10:09.577
328,278270,2021-04-27 09:17:17.300
329,272329,2021-04-28 14:50:29.843
330,263881,2021-04-29 09:51:27.540
331,266624,2021-04-30 12:15:43.680
332,252611,2021-05-01 17:37:43.547
333,245970,2021-05-02 09:05:50.343
334,236043,2021-05-03 12:34:11.250
335,233437,2021-05-04 10:02:21.283
336,237041,2021-05-05 17:05:52.440
337,234371,2021-05-06 09:41:20.583
338,234547,2021-05-07 09:51:09.177
339,231523,2021-05-08 10:07:47.953
340,232119,2021-05-09 08:10:00.340
341,228483,2021-05-10 08:49:03.363
342,227803,2021-05-11 09:49:09.267
343,228866,2021-05-12 10:02:38.193
344,229427,2021-05-13 09:43:27.597
345,227841,2021-05-14 10:00:27.040
346,235604,2021-05-15 19:52:27.710
347,246122,2021-05-16 09:52:02.340
348,245601,2021-05-17 09:40:41.407
349,249359,2021-05-18 09:14:55.133
350,250962,2021-05-19 09:31:04.493
351,251237,2021-05-20 09:41:00.687
352,254404,2021-05-21 09:24:05.713
353,260342,2021-05-22 21:18:42.703
354,229432,2021-05-23 12:48:17.997
355,224409,2021-05-25 10:18:31.300
356,222469,2021-05-26 11:02:06.743
357,221528,2021-05-27 10:05:28.197
358,220163,2021-05-28 09:42:17.170
359,218909,2021-05-29 10:35:04.917
360,221561,2021-05-30 10:59:32.670
361,203168,2021-05-31 10:00:49.290
362,196842,2021-06-01 09:16:22.567
363,197523,2021-06-02 10:59:18.600
364,200195,2021-06-03 13:36:10.810
365,189000,2021-06-04 09:32:33.930
366,188689,2021-06-05 09:56:28.030
367,189069,2021-06-06 10:04:08.630
368,189917,2021-06-07 10:11:26.937
369,193709,2021-06-08 15:06:17.980
370,191887,2021-06-09 09:31:19.093
371,195008,2021-06-10 14:55:31.450
372,195841,2021-06-11 10:23:18.553
373,200370,2021-06-12 14:39:48.273
374,199000,2021-06-13 07:41:38.280
375,199566,2021-06-14 08:46:23.347
376,198111,2021-06-15 10:06:22.883
377,201042,2021-06-16 12:28:31.730
378,199158,2021-06-17 09:26:32.133
379,200403,2021-06-18 09:52:38.847
380,198039,2021-06-19 10:48:21.183
381,204152,2021-06-20 22:02:44.323
382,194931,2021-06-21 11:40:36.580
383,214365,2021-06-22 22:12:32.723
384,210550,2021-06-23 15:32:39.740
385,215160,2021-06-24 09:15:01.893
386,240525,2021-06-25 09:50:45.890
387,287799,2021-06-26 23:12:26.337
388,298888,2021-06-27 19:07:19.987
389,299062,2021-06-28 14:30:15.923
390,305663,2021-06-29 18:47:59.480
391,347156,2021-06-30 09:55:38.780
392,277241,2021-07-01 12:07:11.737
393,321002,2021-07-02 12:20:13.393
394,411354,2021-07-03 23:11:13.897
395,418691,2021-07-04 10:46:57.410
396,6690,2021-07-05 10:55:50.280
397,370525,2021-07-07 11:01:18.423
398,405023,2021-07-08 09:43:21.500
399,469055,2021-07-09 00:35:14.700
400,289722,2021-07-10 23:43:54.470
401,345351,2021-07-11 17:11:25.910
402,388491,2021-07-12 09:04:38.663
403,402661,2021-07-13 08:22:28.320
404,418176,2021-07-14 15:36:47.237
405,435107,2021-07-15 21:38:02.957
406,407648,2021-07-16 10:49:16.637
407,383682,2021-07-17 16:50:24.990
408,345663,2021-07-18 17:17:34.203
409,225969,2021-07-20 09:59:59.787
